Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AA1091,JSE,Real Estate,14.36,55722,58.09,86.47,14063366,3.23,-0.43,0.0493,17.7,1.16,9.12,503.98986343399
AA1092,BSE,Energy,318.82,38182.08,50.11,40.89,3652924,4.98,0.11,0.0597,74.9,0.7,2.99,211.633597969417
AA1093,S&P 500,Healthcare,750.12,3351.28,68.33,198.87,18932315,7.73,0.78,0.0291,1,1.28,8.96,1355.201692256
AA1094,NSE,Materials,555.83,11270.15,59.76,80.76,12087510,7.53,0.03,0.0614,74.9,0.91,8.44,486.842527613867
AA1095,NYSE,Real Estate,612.91,12765.84,37.63,119.52,17537892,3.99,-0.43,0.053,1,0.95,5.48,450.875741441219
AA1096,NSE,Materials,23.85,11270.15,91.43,85.38,19014210,7.08,0.03,0.0275,74.9,1.05,1.34,782.454022991186
AA1097,JSE,Healthcare,378.64,,26.06,96.62,8685272,6.55,0.78,0.0539,17.7,0.78,4.74,253.416578382934
AA1098,JSE,Real Estate,926.08,,99.85,66.76,12465675,4.32,-0.43,0.0178,17.7,0.66,0.69,685.067812905546
AA1099,NSE,Real Estate,228.63,,97.24,94.99,3529482,3.14,-0.43,0.04,74.9,0.98,0.87,924.741887453481
AA1100,BSE,Real Estate,194.25,,50.2,175.06,9254482,5.94,-0.43,0.023,74.9,1.01,3.82,871.918911773351
AA1101,JSE,Energy,828.73,,38.5,58.08,19864453,5.9,0.11,0.0369,17.7,0.81,3.61,236.92221934174
AA1102,NYSE,Energy,380.74,,40.92,13.65,994620,4.03,0.11,0.0169,1,0.61,4.36,65.5217792832212
AA1103,NSE,Information Tech,25.42,,86.27,37.03,5103374,7.44,0.23,0.0531,74.9,0.94,5.49,326.120130479457
AA1104,BSE,Information Tech,680.97,,12.75,175.13,10643703,5.77,0.23,0.0387,74.9,0.93,5.06,220.64776699073
AA1105,S&P 500,Information Tech,465.12,,28.92,24.02,17457299,4.32,0.23,0.034,1,1.24,5.65,78.5541424741014
AA1106,S&P 500,Healthcare,566.86,,92.75,26.14,6333898,6.47,0.78,0.037,1,0.96,0.81,252.309971190186
AA1107,BSE,Energy,657.32,,57.41,26.87,7670798,4.73,0.11,0.021,74.9,1.2,3.03,165.297585505985
AA1108,BSE,Information Tech,767.56,,41.44,54.49,18537717,4.14,0.23,0.042,74.9,0.73,2.55,236.998802695149
AA1109,S&P 500,Information Tech,164.44,,70.2,49.8,1056089,4.63,0.23,0.0244,1,1.11,8.56,355.111130276432
AA1110,JSE,Real Estate,604.53,,36.9,29.81,11874622,3.8,-0.43,0.0363,17.7,0.62,1.05,119.854859981383
AA1111,NYSE,Materials,419.43,12765.84,33.09,122.87,10886968,7.37,0.03,0.0284,1,1.03,1.58,405.641905184844
AA1112,BSE,Materials,337.81,38182.08,62.53,48.4,9406946,2.96,0.03,0.0513,74.9,1.03,3.99,308.666697437058
AA1113,NYSE,Energy,956.62,12765.84,58.5,37.58,10482380,2.79,0.11,0.0187,1,0.98,4.04,243.956298602023
AA1114,NYSE,Healthcare,459.06,12765.84,74.75,54.18,2107577,3.61,0.78,0.0469,1,0.66,7.66,411.155428542464
AA1115,BSE,Real Estate,688.91,38182.08,82.24,137.16,16349916,7.5,-0.43,0.0609,74.9,0.75,5.43,1128.69597715837
AA1116,S&P 500,Information Tech,124.54,3351.28,20.34,144.35,18994493,6.04,0.23,0.0161,1,1.06,9.5,289.938272365601
AA1117,NYSE,Real Estate,279.16,12765.84,99.53,54.51,18029062,5.05,-0.43,0.0511,1,1.05,3.52,547.730001403391
AA1118,BSE,Real Estate,260.26,38182.08,27.03,105.15,18761155,6.82,-0.43,0.0346,74.9,1.05,2.83,284.469655458754
AA1119,BSE,Real Estate,456.09,38182.08,79.26,98.64,17227582,5.3,-0.43,0.04,74.9,0.77,7.74,783.379347975368
AA1120,NSE,Real Estate,40.82,11270.15,83.8,30.53,17342031,4.46,-0.43,0.0451,74.9,1.05,4.59,263.094033148132
AA1121,NSE,Energy,646.68,11270.15,69.54,54.86,11074419,3.67,0.11,0.046,74.9,0.81,2.89,389.566577784838
AA1122,S&P 500,Real Estate,775.44,3351.28,57.95,148.44,17110139,4.16,-0.43,0.0532,1,0.84,3.69,862.282952457597
AA1123,JSE,Energy,849.22,55722,32.66,10.15,998669,3.45,0.11,0.0266,17.7,0.92,7.05,52.2303561057267
AA1124,NSE,Materials,613.51,11270.15,35.79,96.63,14211785,6.8,0.03,0.0463,74.9,1.21,8.8,349.25197813151
AA1125,JSE,Materials,917.91,55722,74.33,129.29,6406620,3.13,0.03,0.0282,17.7,0.68,4.47,972.687315819874
AA1126,JSE,Real Estate,815.25,55722,36.57,125.8,18266299,6.12,-0.43,0.0252,17.7,0.83,1.3,466.016437489351
AA1127,NSE,Healthcare,137.88,11270.15,65.7,107.63,4571365,7.01,0.78,0.0473,74.9,1.16,4.28,706.969933834027
AA1128,NYSE,Information Tech,181.6,12765.84,20.63,54.98,18832623,4.72,0.23,0.0259,1,0.76,8.37,118.570189693851
AA1129,BSE,Real Estate,947.98,38182.08,74.82,56.44,13727520,7.65,-0.43,0.0197,74.9,0.85,9.04,443.678796435054
AA1130,NSE,Information Tech,34.81,11270.15,37.56,101.29,14136726,6.69,0.23,0.033,74.9,1.11,4.88,380.791240806237
AA1131,S&P 500,Materials,347.28,3351.28,90.79,61.73,1957615,4.14,0.03,0.0536,1,1.08,1.32,565.163366241591
AA1132,NSE,Materials,861.44,11270.15,22.26,124.13,12113776,6.29,0.03,0.0388,74.9,0.96,7.47,284.917482157351
AA1133,NSE,Energy,663.87,11270.15,14.71,174.35,18333200,4.03,0.11,0.0605,74.9,0.93,8.19,253.45135027004
AA1134,S&P 500,Real Estate,940.94,3351.28,95.61,87.95,16582080,5.63,-0.43,0.0216,1,1.06,0.91,858.499517714139
AA1135,JSE,Healthcare,932.79,55722,60.06,12.86,18837325,3.67,0.78,0.0305,17.7,0.67,4.32,101.791949472319
AA1136,BSE,Real Estate,858.74,38182.08,40.05,168.54,9865855,4.43,-0.43,0.0158,74.9,0.85,5.56,678.914730458602
AA1137,NSE,Healthcare,659.16,11270.15,29.18,151.24,17261730,4.62,0.78,0.0294,74.9,0.96,4.51,440.300152476984
AA1138,NSE,Healthcare,828.38,11270.15,67.27,121.21,14589839,4.97,0.78,0.0414,74.9,0.77,6.66,822.49424444738
AA1139,JSE,Information Tech,638.51,55722,17.35,155.6,11490203,2.77,0.23,0.0259,17.7,0.92,2.06,268.230259072063
AA1140,JSE,Healthcare,380.61,55722,21.28,148.19,9033150,8.33,0.78,0.0344,17.7,0.74,4.93,311.986926428444
AA1141,JSE,Healthcare,484.02,55722,82.78,22.88,9619169,6.98,0.78,0.0432,17.7,0.69,6.04,198.833921484297
AA1142,NSE,Materials,831.53,11270.15,46.08,151.22,1989942,5.95,0.03,0.0551,74.9,0.92,5.19,701.033103683746
AA1143,NYSE,Healthcare,430.45,12765.84,26.87,97.27,6584741,3.66,0.78,0.0556,1,1.04,0.52,263.159187541684
AA1144,NSE,Energy,33.91,11270.15,36.94,79.2,,,0.11,0.0213,74.9,1.09,3.75,295.079514081951
AA1145,S&P 500,Real Estate,657.74,3351.28,29.51,21.06,,,-0.43,0.0444,1,0.64,5.76,73.7677348823617
AA1146,NYSE,Information Tech,58.86,12765.84,95.85,88.18,,,0.23,0.0405,1,1.09,9.09,846.78832786179
AA1147,S&P 500,Materials,750.39,3351.28,67.13,95.94,,,0.03,0.0579,1,0.81,8.74,650.522398705277
AA1148,S&P 500,Healthcare,612.88,3351.28,60.26,116.5,,,0.78,0.0456,1,0.77,2.35,703.547559448574
AA1149,S&P 500,Energy,717.44,3351.28,57.79,105.19,,,0.11,0.0448,1,1.2,8.7,612.495937361482
AA1150,NSE,Materials,865.99,11270.15,18.5,41.15,,,0.03,0.0235,74.9,1.21,2.88,93.1179112131836
AA1151,JSE,Information Tech,780.13,55722,89.99,41.32,,,0.23,0.0595,17.7,1.29,7.07,384.724156953973
AA1152,NSE,Materials,502.52,11270.15,49.09,83.34,,,0.03,0.0435,74.9,0.74,8.7,412.605803151244
AA1153,BSE,Energy,462.69,38182.08,65.11,71.88,,,0.11,0.0511,74.9,0.98,6.02,472.310582764038
AA1154,NSE,Healthcare,955.34,11270.15,10.35,154.15,,,0.78,0.0418,74.9,0.62,1.09,172.680102942899
AA1155,JSE,Real Estate,744.53,55722,44.33,114.85,,,-0.43,0.0581,17.7,0.97,7.58,513.540875088058
AA1156,BSE,Real Estate,399.45,38182.08,85.15,29.09,,,-0.43,0.0561,74.9,0.85,3.52,255.8467851282
AA1157,BSE,Information Tech,752.33,38182.08,16.29,58.53,,,0.23,0.0284,74.9,0.78,7.53,105.752449168292
AA1158,NYSE,Information Tech,693.99,12765.84,26.27,55.14,,,0.23,0.0263,1,0.92,1.04,153.930146261011
AA1159,S&P 500,Real Estate,406.67,3351.28,95.5,176.93,,,-0.43,0.0414,1,1.05,3.39,1683.14553567213
AA1160,NYSE,Energy,58.45,12765.84,45.57,88.75,,,0.11,0.0164,1,1.07,9.5,405.997581053861
AA1161,JSE,Information Tech,465.31,55722,82.6,22.79,,,0.23,0.0486,17.7,0.76,1.12,197.446581297583
AA1162,NYSE,Healthcare,813.2,12765.84,69.48,162.22,,,0.78,0.0392,1,1.14,6.36,1129.42568507045
AA1163,NYSE,Energy,611.13,12765.84,60.58,50.78,,,0.11,0.0609,1,0.79,1.99,315.527553006174
AA1164,BSE,Real Estate,295.24,38182.08,88.55,96.51,,,-0.43,0.022,74.9,0.87,5.91,855.665733503721
AA1165,NSE,Energy,909.7,11270.15,84.96,122.95,,,0.11,0.0255,74.9,1.18,6.37,1056.23828507175
AA1166,BSE,Materials,731.25,38182.08,46.43,175.77,,,0.03,0.0359,74.9,0.77,9.38,814.147778631573
AA1167,BSE,Energy,100.11,38182.08,62.85,71.9,,,0.11,0.0228,74.9,0.71,0.88,455.144812201558
AA1168,NYSE,Information Tech,397.41,12765.84,44.64,61.35,,,0.23,0.0466,1,1.21,5.98,278.870698512039
AA1169,NSE,Energy,546.73,11270.15,57.58,113.53,,,0.11,0.0224,74.9,0.92,2.29,654.586227824272
AA1170,NSE,Materials,374.17,11270.15,89.57,36.19,,,0.03,0.0204,74.9,1.19,1.44,331.511548132025
AA1171,S&P 500,Energy,894.82,3351.28,32.33,78.76,,,0.11,0.0563,1,1.14,6.01,269.69934872024
AA1172,JSE,Healthcare,99.55,55722,87.17,196.63,,,0.78,0.0593,17.7,0.94,8.78,1704.96779790307
AA1173,S&P 500,Materials,422.97,3351.28,92.47,175.93,,,0.03,0.0579,1,1.21,4.05,1620.50589184838
AA1174,BSE,Healthcare,882.94,38182.08,61.66,138.07,,,0.78,0.0293,74.9,1.05,2.18,859.796190608045
AA1175,NYSE,Healthcare,46.09,12765.84,85.66,155.11,,,0.78,0.0325,1,0.71,5.5,1323.7150695617
AA1176,S&P 500,Real Estate,739.31,3351.28,39.01,35.23,,,-0.43,0.0553,1,1.15,5.37,139.555374666727
AA1177,NSE,Information Tech,765.26,11270.15,60.54,100.83,,,0.23,0.056,74.9,0.95,7.62,606.918409063873
AA1178,S&P 500,Real Estate,141.73,3351.28,85.78,43.27,,,-0.43,0.0442,1,0.77,6.8,367.26472007555
AA1179,S&P 500,Information Tech,27.63,3351.28,16.27,173.61,,,0.23,0.0374,1,1.26,5.26,265.954308528737
AA1180,JSE,Energy,88.23,55722,30.01,118.34,,,0.11,0.0609,17.7,0.87,9.02,343.883896359957
AA1181,NSE,Energy,224.81,11270.15,79.07,177.25,,,0.11,0.0163,74.9,0.75,4.5,1384.46332249093
AA1182,S&P 500,Healthcare,740.17,3351.28,51.88,36.64,,,0.78,0.0339,1,1.02,2.29,192.246587148197
AA1183,S&P 500,Energy,561.13,3351.28,24.57,57.63,,,0.11,0.0298,1,1.14,4.85,138.232262583551
AA1184,NSE,Energy,100,11270.15,29.73,107.31,,,0.11,0.0359,74.9,0.66,6.27,308.886383026336
AA1185,BSE,Healthcare,720.73,38182.08,11.19,119.75,,,0.78,0.0251,74.9,0.94,5.9,127.790249995967
AA1186,NYSE,Real Estate,786.64,12765.84,76.23,101.56,,,-0.43,0.0179,1,1.16,2.62,771.294950551399
AA1187,NYSE,Energy,318.54,12765.84,57.09,31.03,,,0.11,0.0569,1,1.14,2.4,174.842413285775
AA1188,S&P 500,Materials,318.65,3351.28,56.16,124.81,,,0.03,0.0442,1,0.72,8.61,689.350151586262
AA1189,NSE,Real Estate,169.15,11270.15,40.52,167.46,,,-0.43,0.0601,74.9,1.27,6.94,662.403443266073
AA1190,BSE,Information Tech,266.35,38182.08,20.05,141.7,,,0.23,0.0358,74.9,1.26,4.98,270.921813096754
AA1191,NYSE,Real Estate,235.98,12765.84,10.21,21.88,,,-0.43,0.0319,1,0.67,6.49,20.8013322058017
AA1192,BSE,Real Estate,373.7,38182.08,44.05,191.72,,,-0.43,0.0596,74.9,0.75,4.47,826.50185379347
AA1193,S&P 500,Information Tech,199.05,3351.28,24.16,74.23,,,0.23,0.057,1,0.85,0.71,172.588584353681
AA1194,S&P 500,Real Estate,23.3,3351.28,34.76,165.46,,,-0.43,0.0318,1,0.79,5.6,559.119569589888
AA1195,BSE,Materials,244.03,38182.08,34.29,46.02,,,0.03,0.0412,74.9,1.07,2.02,153.842811140883
AA1196,BSE,Materials,182.19,38182.08,39.25,97.58,,,0.03,0.0227,74.9,1.24,2.47,373.832134164195
AA1197,NYSE,Information Tech,906.07,12765.84,32.99,39.11,,,0.23,0.0361,1,0.86,4.52,138.81570753345
AA1198,BSE,Energy,869.47,38182.08,62.13,196.65,,,0.11,0.0347,74.9,0.91,6.84,1213.50059977159
AA1199,NYSE,Materials,224.68,12765.84,34.71,34.78,,,0.03,0.0314,1,0.72,1.13,117.836643365068
AA1200,NYSE,Healthcare,757.28,12765.84,60.32,145.27,,,0.78,0.0396,1,0.96,9.34,868.182846209598
AA1201,NYSE,Information Tech,169.54,12765.84,64.53,29.67,,,0.23,0.0571,1,1.19,7.23,188.978930796171
AA1202,NYSE,Healthcare,588,12765.84,95.2,177.76,11700246,8,0.78,0.0432,1,0.85,5.94,1677.32198523328
AA1203,JSE,Information Tech,162.51,55722,69.98,83.82,9086720,7.34,0.23,0.0612,17.7,1.07,5.95,578.712475332023
AA1204,S&P 500,Information Tech,234.07,3351.28,88.35,20.38,2989630,5.13,0.23,0.0371,1,1.13,2.76,178.60773969858
AA1205,NSE,Healthcare,207.7,11270.15,14.42,133.49,2958015,4.61,0.78,0.0599,74.9,1.22,9.52,180.200630350084
AA1206,JSE,Healthcare,954.87,55722,90.28,141.6,9628193,3.1,0.78,0.0542,17.7,0.96,4.35,1282.06376589131
AA1207,NYSE,Healthcare,47.07,12765.84,80.9,134.27,13932382,7.22,0.78,0.0373,1,1.09,8.16,1073.3397939964
AA1208,JSE,Energy,32.03,55722,32.2,169.69,5407465,6.43,0.11,0.0457,17.7,0.95,1.96,530.025124133534
AA1209,BSE,Energy,385.1,38182.08,12.44,154.94,13450650,3.3,0.11,0.0538,74.9,1.01,0.63,178.871419032742
AA1210,NSE,Information Tech,160.08,11270.15,64.92,92.49,16121436,6.7,0.23,0.0214,74.9,1.15,2.85,591.726369440503
AA1211,BSE,Real Estate,540.03,38182.08,35.47,76.6,5249412,7.47,-0.43,0.0466,74.9,1.18,5.5,266.15626311072
AA1212,S&P 500,Materials,225.86,3351.28,92.85,175.55,16451199,6.48,0.03,0.0188,1,1.03,6.29,1613.06124374092
AA1213,NSE,Healthcare,832.29,11270.15,57.55,148.94,13794002,4.98,0.78,0.0347,74.9,0.86,4.25,851.708774779503
AA1214,S&P 500,Real Estate,408.36,3351.28,61.47,55.87,16166088,6.08,-0.43,0.0329,1,1.23,2.71,338.959984536159
AA1215,NSE,Materials,361.49,11270.15,37.53,189.59,6416737,7.35,0.03,0.0263,74.9,1.03,6.98,693.729573184239
AA1216,BSE,Materials,358.58,38182.08,88.14,133.07,7463726,8.04,0.03,0.0586,74.9,1.24,7.22,1160.5283863735
AA1217,BSE,Energy,957.94,38182.08,77.97,180.23,17689278,4.43,0.11,0.0568,74.9,0.62,2.04,1405.31947553624
AA1218,S&P 500,Energy,454.89,3351.28,85.07,35.49,13517914,4.06,0.11,0.0573,1,0.94,6.32,299.770461599838
AA1219,JSE,Real Estate,628.44,55722,16.26,120.08,15322423,6.96,-0.43,0.0547,17.7,1.11,1.73,186.756605224801
AA1220,S&P 500,Information Tech,750.81,3351.28,94,127.62,8065866,3.02,0.23,0.0458,1,1.28,9.44,1192.92660826419
AA1221,JSE,Information Tech,836.97,55722,73.54,97.08,13622180,5.96,0.23,0.0272,17.7,1.23,2.82,713.734563205666
AA1222,BSE,Information Tech,155.01,38182.08,85.63,96.7,4575261,5.62,0.23,0.0293,74.9,0.6,4.9,818.90754083359
AA1223,BSE,Materials,10.78,38182.08,57.68,149.09,3421665,7.7,0.03,0.0429,74.9,1.07,1.11,845.478911001229
AA1224,S&P 500,Energy,472.41,3351.28,79.33,119.66,18180256,3.21,0.11,0.0511,1,1.21,5.22,938.859060133294
AA1225,NYSE,Materials,935.52,12765.84,63.93,90.37,9550745,2.71,0.03,0.0264,1,0.93,7.4,584.703527443216
AA1226,NYSE,Energy,690.5,12765.84,35.75,186.34,8268012,8,0.11,0.035,1,0.71,5.89,652.200965121655
AA1227,NSE,Information Tech,694.38,11270.15,18.22,127.95,17199071,6.25,0.23,0.0241,74.9,0.67,8.48,225.199351759515
AA1228,NSE,Information Tech,775.96,11270.15,76.97,39.28,19823820,5.31,0.23,0.0209,74.9,1.01,5.75,305.29799310339
AA1229,BSE,Healthcare,336.67,38182.08,92.08,45.59,6821064,7.93,0.78,0.0261,74.9,1.12,9.3,416.182744326753
AA1230,NYSE,Information Tech,374.05,12765.84,15.99,147.31,6467511,3.6,0.23,0.0173,1,0.67,9.27,222.281330503897
AA1231,S&P 500,Materials,38.36,3351.28,87.36,160.69,1593882,3.68,0.03,0.0567,1,1.21,8.44,1388.11912751765
AA1232,NYSE,Real Estate,34.35,12765.84,78.97,20.89,1661829,3.75,-0.43,0.0224,1,1.19,2.39,163.173722489461
AA1233,NYSE,Real Estate,432.36,12765.84,30.42,131.02,4364010,3.1,-0.43,0.0427,1,0.82,5.24,386.884395789039
AA1234,BSE,Information Tech,674.88,38182.08,79.72,11.63,11805989,3.82,0.23,0.0417,74.9,0.6,7.26,95.6582138441916
AA1235,BSE,Real Estate,842.59,38182.08,41.5,161.01,15881109,7.45,-0.43,0.0568,74.9,0.61,4.34,661.982763523958
AA1236,NYSE,Healthcare,382.2,12765.84,96.97,99.52,2922381,7.08,0.78,0.0455,1,1.22,0.75,956.250852272073
AA1237,S&P 500,Real Estate,776.52,3351.28,57.03,29.22,3581145,6.38,-0.43,0.0242,1,0.68,5.5,170.586579792098
AA1238,BSE,Energy,953.32,38182.08,54.75,90.54,17687393,6.91,0.11,0.0551,74.9,1.24,0.63,504.260158929314
AA1239,NSE,Materials,680.51,11270.15,70.36,49.4,6552137,6.31,0.03,0.0241,74.9,0.76,3.21,346.846334866516
AA1240,JSE,Energy,927.7,55722,48.83,89.22,8483232,8.13,0.11,0.0575,17.7,0.71,3.57,442.128614572363
AA1241,JSE,Real Estate,917.28,55722,56.32,107.07,13150293,6.57,-0.43,0.0581,17.7,0.6,2.51,606.832484530687
AA1242,BSE,Information Tech,520.65,38182.08,44.85,21.76,17045319,5.47,0.23,0.0434,74.9,1.21,6.93,97.322602479563
AA1243,BSE,Real Estate,740.32,38182.08,39.76,190.76,19213160,6.31,-0.43,0.0152,74.9,1.15,1.94,745.259851383352
AA1244,NSE,Healthcare,566.99,11270.15,35.51,109.4,18034268,5.2,0.78,0.0483,74.9,1.06,3.95,380.152262572726
AA1245,NSE,Information Tech,588.32,11270.15,52.11,166.87,6596620,7.24,0.23,0.0519,74.9,0.83,5.27,855.673438185012
AA1246,S&P 500,Energy,828.31,3351.28,67.51,189.1,6653502,7.24,0.11,0.0525,1,0.82,0.59,1266.86474664123
AA1247,NSE,Materials,612.6,11270.15,33.08,38.45,1613741,7.21,0.03,0.0339,74.9,1.21,5.57,126.341124062043
AA1248,S&P 500,Energy,477.19,3351.28,95.89,159.95,20074949,5.07,0.11,0.0592,1,0.87,6.2,1519.38824202457
AA1249,NSE,Real Estate,160.32,11270.15,25.66,162.81,18844405,5.73,-0.43,0.0318,74.9,0.84,7.06,402.217188347082
AA1250,JSE,Healthcare,408.77,55722,61.69,96.98,10119297,6.29,0.78,0.0175,17.7,0.98,2.37,589.880029593882
AA1251,NYSE,Information Tech,691.92,12765.84,33.48,158.32,2503348,6.6,0.23,0.0306,1,1.22,3.49,518.889728690573
AA1252,S&P 500,Energy,176.17,3351.28,44.14,151.28,1312563,4.05,0.11,0.0358,1,0.66,6.14,653.285383784372
AA1253,S&P 500,Real Estate,757.49,3351.28,50.14,177.79,8205285,2.66,-0.43,0.0376,1,1.17,0.55,880.006766593268
AA1254,NYSE,Information Tech,489.84,12765.84,89.62,103.53,14401860,4.95,0.23,0.0397,1,1.15,4.78,919.172426481056
AA1255,BSE,Information Tech,560.49,38182.08,54.47,72.51,3329079,6.75,0.23,0.0266,74.9,1.08,7.62,390.067324585089
AA1256,NYSE,Real Estate,468.09,12765.84,56.81,184.36,17654624,4.67,-0.43,0.0531,1,1.14,5.47,1030.48839449608
AA1257,JSE,Real Estate,125.54,55722,89.29,53.93,3322012,7.73,-0.43,0.0566,17.7,1.11,4.5,476.53544030764
AA1258,NYSE,Materials,727.66,12765.84,40.87,197.59,19994814,3.21,0.03,0.0407,1,0.99,9.55,793.34686815055
AA1259,NSE,Real Estate,665.16,11270.15,64.42,88.92,17930341,3.03,-0.43,0.0366,74.9,1.01,1.52,567.81022203565
AA1260,BSE,Healthcare,920.22,38182.08,99.98,192.69,1752015,6.7,0.78,0.0399,74.9,0.76,6.22,1922.15348108027
AA1261,JSE,Information Tech,161.77,55722,20.41,184.98,3346117,5.29,0.23,0.0579,17.7,1.2,8.3,359.941348928251
AA1262,NYSE,Information Tech,117.66,12765.84,44.96,23.24,12971670,6.45,0.23,0.0273,1,1.22,9.34,102.583069582126
AA1263,S&P 500,Real Estate,374.81,3351.28,52.55,70.52,11865727,4.02,-0.43,0.041,1,0.69,7.13,364.544295388367
AA1264,JSE,Information Tech,545.2,55722,60.61,192.99,13264872,5.28,0.23,0.0272,17.7,0.85,6.31,1152.71344357472
AA1265,S&P 500,Healthcare,277.13,3351.28,63.58,31.23,16942918,4.67,0.78,0.0164,1,0.9,6.3,196.233785761533
AA1266,NYSE,Energy,607.45,12765.84,88.49,41.01,5399765,3.96,0.11,0.0423,1,0.97,6.45,361.701938998034
AA1267,S&P 500,Materials,773.91,3351.28,63.49,180.34,8618807,3.68,0.03,0.0177,1,1.19,5.16,1133.84359953461
AA1268,NYSE,Information Tech,464.8,12765.84,56.06,49.19,6443410,5.79,0.23,0.0306,1,1.21,1.73,272.34041307874
AA1269,JSE,Energy,12.9,55722,21.88,88.92,1366959,7.29,0.11,0.056,17.7,1.18,7.68,186.170397049407
AA1270,JSE,Healthcare,273.01,55722,18.14,80.29,17291002,3.93,0.78,0.0154,17.7,0.66,3.12,138.602222372436
AA1271,NYSE,Information Tech,551.86,12765.84,17.59,168.17,13363352,2.81,0.23,0.054,1,1.03,6.4,281.66307979743
AA1272,NSE,Energy,527.52,11270.15,32.85,99.84,16896855,3.71,0.11,0.0364,74.9,0.93,2.5,320.086614695727
AA1273,BSE,Information Tech,227.92,38182.08,31.71,85.98,7215686,7.69,0.23,0.0413,74.9,1.29,4.53,264.735271286804
AA1274,NYSE,Energy,858.45,12765.84,34.88,141.91,5601357,2.66,0.11,0.018,1,0.61,2.58,491.583582341889
AA1275,S&P 500,Energy,826.41,3351.28,48.59,192.35,10407026,6.16,0.11,0.0615,1,0.67,2.29,924.529090770967
AA1276,NSE,Healthcare,523.33,11270.15,24.15,100.42,15687023,4.18,0.78,0.0245,74.9,0.75,0.5,234.690497411659
AA1277,JSE,Energy,963.89,55722,95.24,166.4,12189960,3.14,0.11,0.0193,17.7,1.17,8.32,1586.77187409359
AA1278,S&P 500,Real Estate,589.17,3351.28,21.95,56.24,15064823,7.73,-0.43,0.044,1,0.6,3.26,120.547044213973
AA1279,S&P 500,Healthcare,674.42,3351.28,20.91,164.95,18919839,3.1,0.78,0.0487,1,0.6,7.67,332.987454981372
AA1280,JSE,Real Estate,388.57,55722,55.01,92.19,2113893,7.61,-0.43,0.0478,17.7,1.13,6.46,498.975604724331
AA1281,S&P 500,Energy,814.39,3351.28,67.29,56.63,10010582,5.09,0.11,0.0195,1,0.7,6.07,383.8431403699
AA1282,NYSE,Information Tech,490.99,12765.84,81.08,100.76,14992628,3.37,0.23,0.0152,1,0.67,5.15,808.614340319665
AA1283,NSE,Real Estate,160.89,11270.15,76.9,50.78,9902376,7.83,-0.43,0.0453,74.9,0.75,4.71,385.869463541778
AA1284,NYSE,Information Tech,684.69,12765.84,18.59,17.75,5876981,8.3,0.23,0.0372,1,0.84,9.38,35.5621564114134
AA1285,BSE,Energy,47.45,38182.08,57.54,54.36,13954704,5.64,0.11,0.041,74.9,1.13,7.75,307.729344867101
AA1286,S&P 500,Healthcare,866.25,3351.28,20.56,47.39,2613246,5.12,0.78,0.0515,1,1.01,7.52,103.939619776306
AA1287,JSE,Information Tech,209.88,55722,30.22,25.2,12038842,4.03,0.23,0.0417,17.7,0.7,5.9,74.2315092328557
AA1288,S&P 500,Materials,561.91,3351.28,46.19,156.79,13539095,3.63,0.03,0.0606,1,0.95,8.24,710.996062132733
AA1289,NYSE,Healthcare,226.72,12765.84,58.98,94.51,10690750,6.43,0.78,0.0551,1,1.07,2.49,548.705785291517
AA1290,JSE,Energy,948.56,55722,66.33,170.46,1385723,6.12,0.11,0.0396,17.7,0.84,2.18,1130.83367422904
AA1291,NSE,Energy,669.36,11270.15,15.67,12.37,18584585,6.7,0.11,0.0152,74.9,1.26,5.38,22.1135832751408
AA1292,NSE,Real Estate,763.61,11270.15,33.75,47.31,841486,8.23,-0.43,0.0609,74.9,0.61,7.48,161.414056070256
AA1293,NYSE,Information Tech,53,12765.84,12.5,21.15,3689524,5.48,0.23,0.0485,1,0.82,8.34,24.779192069205
AA1294,NYSE,Healthcare,808.36,12765.84,30,136.93,8023379,4.18,0.78,0.0331,1,1.24,4.38,405.538796285333
AA1295,S&P 500,Information Tech,433.82,3351.28,92.59,39.67,11153838,6.36,0.23,0.0322,1,0.97,8.79,364.631223536841
AA1296,BSE,Information Tech,34.14,38182.08,71.54,121.29,10710823,6.62,0.23,0.0591,74.9,0.8,2.56,856.015723432317
AA1297,NYSE,Energy,368.23,12765.84,63.22,180.42,10376086,4.91,0.11,0.0257,1,0.84,5.28,1123.66779106305
AA1298,JSE,Healthcare,695.33,55722,34.03,84.62,910636,3.24,0.78,0.03,17.7,0.84,5.48,284.242231560647
AA1299,JSE,Real Estate,390.52,55722,44.86,68.67,13148978,7.07,-0.43,0.0411,17.7,1.27,1.67,302.249523846117
AA1300,JSE,Healthcare,261.52,55722,68.91,12.2,19371601,4.31,0.78,0.0275,17.7,0.65,8.57,83.6192329446191
AA1301,NSE,Information Tech,948.36,11270.15,91.3,30.2,1587355,2.93,0.23,0.036,74.9,0.85,7.59,289.816999134975
AA1302,NSE,Information Tech,951.97,11270.15,65.32,134.42,11141673,4.83,0.23,0.0286,74.9,0.67,2.39,882.116095156239
AA1303,NYSE,Materials,464.78,12765.84,21.15,23.16,11064102,5.84,0.03,0.0341,1,0.76,8.3,48.1787340874472
